emoji,sentiment_score,label
😂,0.221,2
❤,0.746,2
♥,0.657,2
😍,0.678,2
😭,-0.093,0
😘,0.701,2
😊,0.644,2
👌,0.563,2
💕,0.632,2
👏,0.52,2
😁,0.449,2
☺,0.657,2
♡,0.669,2
👍,0.521,2
😩,-0.368,0
🙏,0.417,2
✌,0.463,2
😏,0.332,2
😉,0.463,2
🙌,0.559,2
🙈,0.432,2
💪,0.555,2
😄,0.421,2
😒,-0.374,0
💃,0.734,2
💖,0.712,2
😃,0.557,2
😔,-0.146,0
😱,0.19,2
🎉,0.738,2
😜,0.455,2
☯,0.001,2
🌸,0.65,2
💜,0.654,2
💙,0.73,2
✨,0.351,2
😳,0.018,2
💗,0.657,2
★,0.283,2
█,-0.032,0
☀,0.465,2
😡,-0.173,0
😎,0.491,2
😢,0.007,2
💋,0.691,2
😋,0.631,2
🙊,0.459,2
😴,-0.08,0
🎶,0.537,2
💞,0.739,2
😌,0.482,2
🔥,0.139,2
💯,0.12,2
🔫,-0.194,0
💛,0.709,2
💁,0.326,2
💚,0.656,2
♫,0.287,2
😞,-0.118,0
😆,0.409,2
😝,0.423,2
😪,-0.08,0
�,0.086,2
😫,-0.145,0
😅,0.178,2
👊,0.228,2
💀,-0.207,0
😀,0.568,2
😚,0.71,2
😻,0.619,2
©,0.117,2
👀,0.063,2
💘,0.683,2
🐓,0.028,2
☕,0.244,2
👋,0.413,2
✋,0.126,2
🎊,0.721,2
🍕,0.417,2
❄,0.506,2
😥,0.122,2
😕,-0.397,0
💥,0.148,2
💔,-0.121,0
😤,-0.209,0
😈,0.265,2
►,0.162,2
✈,0.415,2
🔝,0.474,2
😰,-0.02,0
⚽,0.616,2
😑,-0.311,0
👑,0.694,2
😹,0.141,2
👉,0.39,2
🍃,0.378,2
🎁,0.759,2
😠,-0.299,0
🐧,0.456,2
☆,0.428,2
🍀,0.285,2
🎈,0.718,2
🎅,0.318,2
😓,-0.08,0
😣,-0.212,0
😐,-0.388,0
✊,0.429,2
😨,-0.14,0
😖,-0.155,0
💤,0.37,2
💓,0.664,2
👎,-0.188,0
💦,0.471,2
✔,0.27,2
😷,-0.169,0
⚡,0.177,2
🙋,0.485,2
🎄,0.531,2
💩,-0.116,0
🎵,0.5,2
➡,0.147,2
😛,0.601,2
😬,0.194,2
👯,0.439,2
💎,0.561,2
🌿,0.384,2
🎂,0.613,2
🌟,0.327,2
🔮,0.267,2
❗,0.1,2
👫,0.255,2
🏆,0.726,2
✖,0.311,2
☝,0.309,2
😙,0.778,2
⛄,0.521,2
👅,0.461,2
♪,0.534,2
🍂,0.547,2
💏,0.388,2
🔪,0.07,2
🌴,0.525,2
👈,0.424,2
🌹,0.6,2
🙆,0.5,2
➜,0.162,2
👻,0.228,2
💰,0.251,2
🍻,0.512,2
🙅,-0.202,0
🌞,0.558,2
🍁,0.482,2
⭐,0.58,2
▪,0.198,2
🎀,0.629,2
━,0.176,2
☷,0.064,2
🐷,0.368,2
🙉,0.333,2
🌺,0.549,2
💅,0.388,2
🐶,0.576,2
🌚,0.464,2
👽,0.315,2
🎤,0.476,2
👭,0.463,2
🎧,0.414,2
👆,0.326,2
🍸,0.539,2
🍷,0.393,2
®,0.279,2
🍉,0.597,2
😇,0.587,2
☑,0.101,2
🏃,0.406,2
😿,-0.372,0
│,0.343,2
💣,0.007,2
🍺,0.493,2
▶,0.209,2
😲,-0.068,0
🎸,0.516,2
🍹,0.659,2
💫,0.5,2
📚,0.336,2
😶,-0.142,0
🌷,0.538,2
💝,0.644,2
💨,0.381,2
🏈,0.53,2
💍,0.478,2
☔,0.289,2
👸,0.605,2
🇪,0.616,2
░,-0.045,0
🍩,0.382,2
👾,0.361,2
☁,0.308,2
🌻,0.57,2
😵,0.085,2
📒,0.038,2
↿,0.648,2
🐯,0.476,2
👼,0.333,2
🍔,0.277,2
😸,0.41,2
👶,0.434,2
↾,0.646,2
💐,0.735,2
🌊,0.5,2
🍦,0.459,2
🍓,0.67,2
👇,0.247,2
💆,0.221,2
🍴,0.537,2
😧,-0.063,0
🇸,0.511,2
😮,0.269,2
▓,0.011,2
🚫,-0.44,0
😽,0.571,2
🌈,0.516,2
🙀,0.33,2
⚠,-0.066,0
🎮,0.427,2
╯,-0.011,0
🍆,0.402,2
