comments,sentiment
"Tôi ko hay cà phê để giảm bớt 1 đuôi “in”. Tôi lại hay Nicotin- bỏ nhiều lần ko được. Chúc A khỏe , thành công trong CS !",2
Ông này giọng nhẹ nhàng dễ nghe mình rất thích. Mỗi tội nhiều video review mà ko có sản phẩm thực tê trên tay.,2
Máy cháu mất vân tay😢,2
"11 pro nhỏ gọn, cơ bản vẫn ok",2
Se2020 với Se2022 thì sao anh Dương? Mua về làm máy nghe gọi cơ bản được ko?,1
Tôi mà uống Cà phê huyết áp tăng lên 190/110 ngay,2
hình như lên ios 26 nghe vid của anh ko bị lúc lớn lúc nhỏ nữa,2
Đường Đê nói không hơn iphone là ảo tưởng rồi,0
Em dùng 8 Plus cx bị nè,2
Anh Dương ơi em cần 1 chiếc điện thoại có camera zoom 100x trong tầm giá 10tr chính hãng thì có con nào không anh em chúc kênh ngày càng phát triển ạ,2
Anh dương ơi tôi theo kênh của anh anh có thể hướng dẫn hoặc mua hộ tôi chiếc sam sung a56 màu hồng nhạt được không nếu mua qua kênh của anh thì giá sẽ ra sao,2
IP air thế hệ tiếp theo chỉ cần trang bị loa kép & camera kép là rớt lúa liền. Còn Pin yếu thì có sạc dự phòng lo.😂😅,2
Anh cho em hỏi ạ iPhone 14  mua esim hay có sim ạ mong anh cho em lời khuyên ạ,2
Giờ mua ip cũ thì khuyên thật bét nhất phải 13 chứ bọn 11 12 không đáng cùng tiền 2 con này mua android cho sướng,0
"Tiết kiệm thì nhiều, bỏ sạc, bỏ tai nghe, hộp nhỏ ,rồi vận chuyển giảm, vậy mà giá thành không được giảm theo chút nào. Nếu tất cả giúp cho giá thành của sản phẩm được giảm, thì nói gì ai cũng nghèo... Còn lại tào lao.",0
"năm nay ram,ssd,cpu,ip tăng giá lắm lun",1
"chú ơi ip6s cháu đang dùng bao năm nx thì các phần mềm ,ứng dụng ngưng hổi trợ v cháu chủ yếu xem zalo với cày phim thôi ạ cháu chủ yếu dùng laptop. thanks chú",1
"Tài chính mình dưới 10tr không thể cố thêm, nhu cầu chụp ảnh ( chủ yếu chụp người ), thỉnh thoảng liên quân, tốc chiến.",1
Cách bảo vệ môi trường tốt nhất là apple chuyển sang type C để xài sạc của hãng khác 😂,2
"xsmax với  11 series làm máy phụ cho app ngân hàng với nhắn tin vẫn ngon a ạ, nó nhỏ gọn cầm thích vãi, nếu không có tiền mua 17 air =))))",2
Chưa thấy anh dương trả lời xem. Mua máy android dựng sẽ gặp những vấn đề gì khi sử dụng ạ. Mong anh tư vấn em tính mua android dựng hiệu năng cao,1
Anh cho em hỏi em đang phân vân con s25 ultra và iphone 14pro max máy cũ thì con nào đáng mua hơn ạ em cảm ơn ạ,2
"con xin chào chú ạ. Chúc kênh chú ngày càng phát triển
Con đang dùng S21fe bị 2 sọc màn hình đã thay màn hình hãng mà vẫn bị sọc, con đang phân vân nên đợi S26ultra ra mắt để mua hay là nên mua S24ultra ạ ? 
Con cám ơn chú",1
"A tư vấn giúp e con máy tầm giá 15tr quay đầu, nhu cầu chủ yếu là chụp hình + chơi game ( game nhẹ )… máy mới nha a. Chúc a một ngày tốt lành❤",2
Của hàng sop đăng có ở bình dương không anh giờ dt 17 bao nhiêu tiền anh có thế cho tôi biết được không anh,2
"Em đang phân vẫn giữa 2 con máy Xiaomi 15t pro và ip 16e ạ, giá cũng ngang ngang nhau nên cũng đang kiếm làm máy chính ạ, ít chụp và game nhẹ ạ",2
Cảm ơn bạn . Rất có tâm,2
