tokenized,sentiment
bên hàn mua giật lác vãi,0
sao mình mua có sim đâu mọi người ơi,0
có tiếng việt không anh,2
rồi gắn sim được không,1
bút này có chống tì đè không ạ,2
mấy con này đời sau nhưng thua xa con lenovo xiaoxin pad pro snap màn oled loa hay hơn hẳn mấy con đời sau,2
anh ơi bút loại này dùng như thế nào vậy ạ,2
có cục sạc là may mắn rồi còn chê chê mai mốt nó nghỉ cho luôn,0
máy tin băng giá vn,0
anh cho em hỏi em có nhu cầu làm việc ghi chú viết vẽ nhiều thỉnh thoảng giải trí xem phim với nhu cầu như vậy thì chiếc máy tính bảng này có ổn không ạ,2
anh dương ơi có mẫu máy honor pad x thông số cũng xịn sò lắm mà không thấy anh giới thiệu mong anh làm video để chỉ ra nhược điểm của nó,2
mới đặt mua mà nhìn cmt thấy chán mà dùng để học tập nhẹ lướt tiktok thì ổn,0
con này với anh plus nào ổn hơn ạ em sd để học tập là chính ạ,2
câu khẩu hiệu cho kênh dương dê có khen có chê,0
anh ơi chi dum cho su dung,2
giả sử máy hỗ trợ sạc wh nhưng mà mik dùng wh có sao không ạ,2
đồ lenovo bền âm thanh hay khi kết nối với loa bluetoth nghe khác trời vực so với các hãng khácgiao diện thì sài android gốc nên không đẹp không mượt bằng hãng khác nhưng đa nhiệm thì khá ngon chạy được nhiều ap nền hơn dù cùng thông số ram với hãng khác,2
sao em mua mà không đuợc tặng ốp với bút,0
thời gian sạc trong bao lâu ạ,1
có ai đang dùng tab anh không ạ cho em xin đánh giá với ạ,1
em có thể dùng tab này làm màn hình phụ của laptop được không cảm ơn anh,2
anh làm video đánh giá tốt nhất từng phân khúc về tablet được không ạ chúc anh nhiều sức khỏe ạ,2
cái nayd cài apk được không anh,2
vừa mua bên nhât mới xem review m tưởng ngon hơn m nên mua mà thất giật lắm không ăn thua đâuai mua nên cân nhắc,0
cho mình hỏi bút tự kết nối với máy luôn ạ,1
hiệu năng với giá thành vẫn chưa so được với mấy em ipad đời cũ hay mấy em tablet xiaomi,1
thiết kế ngoại hình đẹp ạ,2
giá này mua làm gì mua con samsung galaxy tab anh plus hiệu năng tốt hơn cũng có bốn loa ngoài sạc cũng ổn,0
cái tay xách anh nói đó là cái dây để kẹp cố định lại cho cái ốp không bị rơi ra đấy anh à,2
thui mua gen cho lành,2
con anh sam sung nó sạc w mà cắm sạc nhanh nó báo luôn và khi sạc nó có thể lên w được con này mà tầm tr sạc w thì chê,0
anh dương ơi tầm đến triệu thì em nên mua máy gì vậy anh em chỉ chơi game nhẹ cam chụp ổn và dùng được tầm năm em chúc anh một ngày tốt lành,2
helo anh,2
làm về máy tính bảng lenovo m đi anh em dang định mua,1
mảnh vải đó dùng để buộc phần nắp mở đó vào máy tính bảng giúp không bị bung ra khi mang đi mang lại anh ơi chứ không phải quai xách đâu ạ,1
em đang định mua prm mà iphone vẫn cài các ap của gogle từ trên ap store về máy được phải không ạ trước giờ em chưa dùng iphone lần nào,2
giá vừa túi tiền,2
tầm giá tr như em này quá tuyệt vời hộp pk đầy đủ,2
không biết giá tiền là bao nhiêuanh dương bán cho một chiếc,1
dòng này có bị lỗi màn không nhỉ,0
anh ơi cho hỏinge nói pro max bị lỏi gì đó hả acam on anh,2
không tắt đk âm thanh quay số tút tút khó chịu,0
anh dương dê ơi em muốn một chiếc điện thoại quay video và chụp ảnh đẹp không biết iphone thường này có hợp với mình không nhỉ,2
nên mua hay g anh,2
viền iphone này bằng kim loại hay nhựa z ae,2
dễ tróc sơn viền camera quá,0
nói dài dòng quá không xem nữa,0
iphone có bị nóng pin không anh em,1
anh dê nhỏ nhìn cưng quá,2
ai đang có ý định mua thì thời điểm này gia hợp lý mọi người lên mua máy mới luôn mọi người cũng lên cập nhật ios xài rất tốt pin lâu máy mượt không bao giờ bị nóng,2
đang phân vân giữa pm và thường thì lấy em nào vậy mọi người,1
iphone có bị lỗi vặt gì không ạ,2
iphone có bị xanh màm không ạ,0
pro va pro max ngon thật su minh bán pm len pm roi ma vẫn tậu lai pro de xai,2
iphone là đth mình hài lòng nhất về khoảng pin phải nói là pin ổn định mà dùng được lâu nữa rất thích,2
nhà đẹp quá anh,2
anh nói rất hay mình mua hơn năm thấy máy lúc nào sử dụng cũng rất mát mình thấy máy còn mạnh hơn con pro max vợ mình dùng,2
ra mắt giảm giá không ae nhỉ,1
iphone chụp ảnh hay quay mầu da nó bj nhợt trắng so với xsmax có mầu da đẹp,0
anh làm video so sánh pro và thường đi anh,2
giờ còn nên mua không ạ,1
